Ruta_SAK,Semana,TotalSales
97,9,396610.4900
98,3,205466.0600
98,4,233839.7300
98,5,222025.7200
98,6,227177.2400
98,7,212427.1900
98,8,214339.3600
98,9,238523.9600
99,3,159267.2300
99,4,177267.5000
99,5,167482.3800
99,6,184457.6700
99,7,178848.8400
99,8,181092.7300
99,9,167935.5400
100,3,248732.3300
100,4,290010.4300
100,5,244790.0900
100,6,322903.3500
100,7,271927.1300
100,8,264837.3100
100,9,213155.5600
101,3,284193.9400
101,4,278087.3000
101,5,274821.7800
101,6,296096.4800
101,7,289484.1100
101,8,278134.8200
101,9,276901.7700
102,3,231268.6100
102,4,227785.5200
102,5,207587.9000
102,6,225486.7600
102,7,226948.9600
102,8,207626.8900
102,9,250570.7800
103,3,127406.7500
103,4,137010.8300
103,5,132079.5200
103,6,138862.9900
103,7,151935.3100
103,8,131243.7400
103,9,156679.8400
104,3,140176.1400
104,4,158364.6400
104,5,149107.9300
104,6,143137.5300
104,7,151006.3300
104,8,146054.7600
104,9,149255.1300
105,3,233840.3400
105,4,264192.0000
105,5,245612.4000
105,6,241248.9500
105,7,249370.8900
105,8,251322.0700
105,9,230317.6500
106,3,395724.4800
106,4,370807.9400
106,5,362956.3400
106,6,345917.0000
106,7,373734.4700
106,8,324369.1300
106,9,305288.4800
107,3,126786.4800
107,4,127331.7500
107,5,129780.2400
107,6,124027.0400
107,7,119768.8400
107,8,122984.6200
107,9,103128.5400
108,3,249283.8200
108,4,302932.0200
108,5,253958.9400
108,6,317153.1700
108,7,266865.9600
108,8,278408.0400
108,9,301442.3800
109,3,175728.2300
109,4,212884.0500
109,5,182912.5900
109,6,193352.9700
109,7,200406.8700
109,8,183313.3100
109,9,198020.3700
110,3,309082.1300
110,4,332404.9700
110,5,314265.1100
110,6,310478.4000
110,7,300479.7700
110,8,297852.6900
110,9,303816.2700
111,3,268514.4000
111,4,290823.9500
111,5,298752.7100
111,6,272894.7500
111,7,257709.4400
111,8,287880.2100
111,9,289891.5000
112,3,215354.1300
112,4,197619.9900
112,5,190443.7000
112,6,203658.3800
112,7,196143.4800
112,8,194658.1000
112,9,194991.6000
113,3,191867.6500
113,4,227110.7300
113,5,221237.8700
113,6,238622.8900
113,7,206157.0300
113,8,206461.4300
113,9,291684.9000
114,3,234864.8500
114,4,253802.4700
114,5,246793.2300
114,6,241334.2700
114,7,236085.2600
114,8,218846.2300
114,9,221104.0900
115,3,235654.9000
115,4,229695.0900
115,5,225991.0200
115,6,239012.7200
115,7,211589.7200
115,8,228929.1600
115,9,226879.8400
116,3,176688.5300
116,4,185635.0000
116,5,198594.1500
116,6,191458.0800
116,7,192996.2300
116,8,181640.9300
116,9,161554.5000
117,3,233248.9200
117,4,247945.1600
117,5,233404.5100
117,6,255882.4600
117,7,257239.0500
117,8,231916.2400
117,9,225951.7800
118,3,177896.1800
118,4,171090.8300
118,5,146827.8200
118,6,165626.9000
118,7,135793.5300
118,8,159363.9000
118,9,159838.1400
119,3,232203.9800
119,4,218748.9200
119,5,206977.4400
119,6,198279.3100
119,7,208736.0400
119,8,213505.4200
119,9,202339.9700
120,3,159197.1800
120,4,158242.5000
120,5,160692.0500
120,6,130757.3200
120,7,156374.7600
120,8,158131.4300
120,9,150058.0000
121,3,283519.2600
121,4,273939.7900
121,5,272848.9100
121,6,305720.1700
121,7,253423.0900
121,8,251865.3800
121,9,274471.7000
122,3,215456.1100
122,4,217954.8900
122,5,240706.6000
122,6,222515.3200
122,7,233259.3300
122,8,222802.0900
122,9,215317.2200
123,3,123488.5700
123,4,110306.4200
123,5,137051.4900
123,6,116542.5900
123,7,140186.0000
123,8,171789.4200
123,9,140511.6500
124,3,293574.6600
124,4,304283.7000
124,5,314958.0700
124,6,319152.7400
124,7,277394.1500
124,8,295223.4200
124,9,272597.6300
125,3,96511.8200
125,4,127011.5200
125,5,130560.1100
125,6,165003.6200
125,7,134516.4100
125,8,130702.3100
125,9,196691.8000
126,3,178709.9700
126,4,158338.1700
126,5,152012.2800
126,6,181300.8900
126,7,164370.6700
126,8,164956.3200
126,9,142739.6900
127,3,223406.9800
127,4,236100.7100
127,5,227880.7800
127,6,221758.1000
127,7,230060.6600
127,8,249844.4000
127,9,216728.3800
128,3,78142.5500
128,4,118579.0300
128,5,111155.0900
128,6,122180.0600
128,7,140061.2800
128,8,112064.3300
128,9,103033.4900
129,3,116549.9300
129,4,157218.9500
129,5,130756.0200
129,6,127343.2500
129,7,114183.2800
129,8,98630.1600
129,9,101430.3800
130,3,41036.3900
130,4,40509.3300
130,5,61209.6700
130,6,52840.1700
130,7,46088.0800
130,8,51196.5300
130,9,45372.1100
131,3,6929.7600
131,4,6829.6000
131,5,5582.8900
131,6,6804.5700
131,7,7374.4000
131,8,4674.3200
131,9,4957.9800
132,3,17442.3900
132,4,20963.6800
132,5,19073.5500
132,6,17394.2700
132,7,12898.5200
132,8,16724.1800
132,9,17792.3500
133,5,.0000
134,3,43982.9000
134,4,56400.1500
134,5,58118.1600
134,6,50907.4300
134,7,63323.0500
134,8,63989.3500
134,9,56874.3800
135,3,7692.6600
135,4,9215.2000
135,5,6197.4200
135,6,9676.1800
135,7,6291.0800
135,8,5710.4800
135,9,7425.1200
136,3,7079.1400
136,4,10426.2000
136,5,17337.6800
136,6,10017.4000
136,7,5322.9400
136,8,7221.6000
136,9,3645.6800
137,3,41981.6600
137,4,51519.3200
137,5,58789.4200
137,6,63888.1500
137,7,32763.1600
137,8,57795.0000
137,9,39983.7000
138,3,16671.0200
138,4,20281.1600
138,5,13252.1400
138,6,15373.0800
138,7,12735.3000
138,8,15721.3000
138,9,15829.5000
139,3,88933.2800
139,4,114870.9200
139,5,85916.0800
139,6,87031.9400
139,7,95415.4100
139,8,81480.7600
139,9,78081.0600
140,3,70626.8200
140,4,93130.7900
140,5,71057.5000
140,6,68852.4500
140,7,66384.9900
140,8,73181.7600
140,9,64053.7100
141,3,73304.1500
141,4,88858.6000
141,5,74606.8600
141,6,83702.0800
141,7,79867.1200
141,8,69228.1600
141,9,69499.8600
142,3,17803.9500
142,4,19437.2900
142,5,21805.2100
142,6,21680.6700
142,7,17990.6200
142,8,17225.9300
142,9,20749.5900
143,3,46620.8200
143,4,52308.4000
143,5,51436.8700
143,6,43622.3500
143,7,84716.1900
143,8,41599.0500
143,9,44226.0700
145,3,123619.3900
145,4,119750.7100
145,5,104753.6700
145,6,126442.3900
145,7,117796.0800
145,8,149024.1400
145,9,104844.5900
146,3,48431.0400
146,4,54438.8000
146,5,64004.2100
146,6,61020.7800
146,7,44939.1000
146,8,64068.3500
146,9,51132.2100
147,3,57494.6200
147,4,79603.8400
147,5,49080.6200
147,6,61617.4200
147,7,57205.6400
147,8,61187.4800
147,9,73153.5900
148,3,66692.6400
148,4,67497.7900
148,5,54247.2000
148,6,61340.2000
148,7,71351.6100
148,8,78415.2800
148,9,63426.7400
149,3,36229.3300
149,4,46132.3000
149,5,34354.1700
149,6,34869.8700
149,7,54925.9500
149,8,37940.9500
149,9,34787.5900
150,3,19475.5400
150,4,17304.8100
150,5,37669.7300
150,6,26194.0200
150,7,25173.1400
150,8,26381.9600
150,9,23221.4000
151,3,19192.9800
151,4,28222.6900
151,5,20235.6200
151,6,18661.0400
151,7,16849.4200
151,8,21254.8000
151,9,22971.6400
152,3,26643.0200
152,4,34857.4400
152,5,28373.8200
152,6,40028.0100
152,7,37173.8500
152,8,35745.7900
152,9,35459.2800
153,3,29481.5500
153,4,40725.1900
153,5,27028.3800
153,6,30237.9100
153,7,26467.7500
153,8,43171.8400
153,9,34666.1000
600,3,7734.3200
600,4,8268.9000
600,5,13226.2800
600,6,9066.8000
600,7,8256.5800
600,8,380.9200
600,9,2692.4800
900,3,1482956.9300
900,4,1419984.0000
900,5,1349778.9000
900,6,1109975.5300
900,7,1163684.5100
900,8,1004526.7700
900,9,998941.7000
1000,4,60771.2000
1000,7,52260.1500
1000,8,60010.4100
1000,9,58228.0800
1001,3,4714049.0500
1001,4,4519446.6300
1001,5,4247257.3200
1001,6,4160243.9300
1001,7,4384318.8000
1001,8,4482793.5900
1001,9,4518407.0800
1002,3,4049034.2100
1002,4,3937745.5500
1002,5,3668842.1600
1002,6,3486230.6900
1002,7,3773525.4600
1002,8,3923597.5800
1002,9,3949371.6500
1003,3,4082080.6800
1003,4,3886211.8400
1003,5,3645401.3100
1003,6,3367355.7700
1003,7,3713160.7900
1003,8,3877078.5700
1003,9,3858262.4500
1004,3,3700739.5900
1004,4,3663122.1700
1004,5,3426627.6300
1004,6,3192052.6000
1004,7,3453606.9300
1004,8,3537461.7600
1004,9,3582468.0500
1005,3,3456228.4800
1005,4,3370129.8900
1005,5,3149954.7800
1005,6,2943684.8200
1005,7,3190432.9700
1005,8,3347203.2100
1005,9,3401175.5500
1006,3,2927561.5000
1006,4,2823442.1100
1006,5,2692916.1600
1006,6,2480934.8800
1006,7,2760252.6000
1006,8,2844140.7700
1006,9,2802739.0400
1007,3,2986896.4700
1007,4,2795819.9300
1007,5,2606518.8600
1007,6,2507441.4800
1007,7,2720595.8900
1007,8,2764388.0100
1007,9,2852786.4800
1008,3,2359046.5300
1008,4,2485682.0500
1008,5,2228324.3100
1008,6,2369556.0300
1008,7,2428799.1300
1008,8,2651586.5700
1008,9,2568147.8600
1009,3,2258653.3200
1009,4,2121124.9100
1009,5,1981504.8700
1009,6,1869101.5500
1009,7,2026487.5400
1009,8,2056545.1600
1009,9,2142950.6800
1010,3,2507412.2400
1010,4,2438130.2600
1010,5,2295354.2000
1010,6,2250742.4300
1010,7,2412289.3000
1010,8,2437806.5200
1010,9,2568925.6200
1011,3,2888935.6800
1011,4,2766372.4000
1011,5,2707088.6500
1011,6,2566919.6700
1011,7,2798773.8700
1011,8,2837695.2100
1011,9,2946925.1300
1012,3,2797061.5600
1012,4,2530695.9500
1012,5,2364190.6700
1012,6,2307994.3800
1012,7,2468398.4600
1012,8,2480350.6600
1012,9,2616279.3800
1013,3,2448739.1300
1013,4,2321156.1500
1013,5,2213346.7900
1013,6,2186203.9800
1013,7,2413284.7000
1013,8,2451155.8600
1013,9,2559226.6300
1014,3,2585888.4600
1014,4,2376187.5300
1014,5,2232333.3000
1014,6,2156271.7100
1014,7,2370323.8600
1014,8,2364256.1100
1014,9,2466195.7200
1015,3,2127972.2800
1015,4,2001189.2900
1015,5,1792797.2100
1015,6,1731123.1300
1015,7,1950472.4400
1015,8,2003693.7100
1015,9,2028168.3600
1016,3,2033066.9400
1016,4,1836798.2800
1016,5,1681394.2800
1016,6,1579587.3200
1016,7,1785224.8000
1016,8,1859731.7500
1016,9,1901232.8200
1017,3,1919000.3300
1017,4,1737085.1900
1017,5,1570947.1500
1017,6,1499944.8700
1017,7,1707147.0300
1017,8,1802517.8600
1017,9,1823800.4400
1018,3,1640160.6800
1018,4,1527657.0300
1018,5,1410836.6400
1018,6,1333994.5300
1018,7,1510795.2000
1018,8,1575278.4900
1018,9,1634306.4400
1019,3,1615017.5900
1019,4,1424811.0900
1019,5,1387980.2700
1019,6,1308200.3500
1019,7,1529040.4400
1019,8,1579733.8900
1019,9,1560387.4100
1020,3,1582800.0100
1020,4,1505896.8400
1020,5,1406585.9600
1020,6,1361822.2500
1020,7,1537305.3800
1020,8,1607584.8100
1020,9,1618073.1200
1021,3,2490309.0100
1021,4,2389730.4200
1021,5,2253430.7600
1021,6,2226439.0800
1021,7,2367525.3300
1021,8,2342368.8700
1021,9,2315679.5400
1022,3,2081538.0900
1022,4,1932952.8000
1022,5,1880756.3000
1022,6,1816720.3000
1022,7,2024350.6100
1022,8,1954037.5400
1022,9,1990876.3700
1023,3,1971825.8800
1023,4,1898932.5700
1023,5,1884794.0600
1023,6,1849889.3200
1023,7,2027604.6900
1023,8,2013615.3500
1023,9,2037251.8100
1024,3,1759070.5000
1024,4,1731409.8500
1024,5,1619723.2800
1024,6,1574833.9300
1024,7,1772041.2900
1024,8,1798597.4200
1024,9,1799485.8600
1025,3,1735350.4000
1025,4,1664997.8800
1025,5,1649497.3800
1025,6,1612514.9000
1025,7,1788462.3400
1025,8,1755014.3000
1025,9,1830981.9100
1026,3,1475380.3000
1026,4,1408579.0000
1026,5,1350261.6100
1026,6,1330033.4200
1026,7,1464388.2900
1026,8,1441658.8200
1026,9,1456455.1600
1027,3,1350987.1100
1027,4,1280302.7100
1027,5,1196445.7100
1027,6,1206251.4000
1027,7,1438867.9800
1027,8,1403145.1800
1027,9,1446745.3600
1028,3,1059492.9000
1028,4,998274.2000
1028,5,970877.0300
1028,6,987818.9400
1028,7,1089407.2800
1028,8,1113246.6900
1028,9,1182341.3500
1029,3,1018198.7900
1029,4,916906.1900
1029,5,959675.1700
1029,6,909298.8300
1029,7,972076.2100
1029,8,1012362.8400
1029,9,1011902.6800
1030,3,1112664.0500
1030,4,1019638.5500
1030,5,1024388.7200
1030,6,959549.4500
1030,7,1091535.8900
1030,8,1043743.5600
1030,9,1062007.4900
1031,3,1446936.2300
1031,4,1320480.2600
1031,5,1304574.8300
1031,6,1322952.0400
1031,7,1496960.9000
1031,8,1482071.6000
1031,9,1560686.6400
1032,3,1656902.0200
1032,4,1551978.4100
1032,5,1522956.6500
1032,6,1541625.3600
1032,7,1657430.8100
1032,8,1709969.9900
1032,9,1752590.0000
1033,3,1356828.8300
1033,4,1283835.4800
1033,5,1179967.8100
1033,6,1176639.7100
1033,7,1349012.5800
1033,8,1363495.0300
1033,9,1393482.2400
1034,3,1311151.8000
1034,4,1197292.2600
1034,5,1127772.9700
1034,6,1149034.2600
1034,7,1271991.9000
1034,8,1262008.5900
1034,9,1303266.2500
1035,3,1011346.7800
1035,4,951580.2800
1035,5,914735.2000
1035,6,911245.2300
1035,7,996465.2200
1035,8,1024281.9400
1035,9,1074968.5600
1036,3,1079799.5300
1036,4,979066.9500
1036,5,929690.8600
1036,6,949135.0800
1036,7,1011485.3200
1036,8,1063724.6300
1036,9,1117226.1500
1037,3,929212.8700
1037,4,812161.5200
1037,5,801743.5500
1037,6,824044.8400
1037,7,936095.0100
1037,8,943245.2900
1037,9,1002875.2100
1038,3,678106.7300
1038,4,602994.3900
1038,5,583884.8400
1038,6,640261.3000
1038,7,707816.5900
1038,8,746125.4300
1038,9,769434.4900
1039,3,761915.5600
1039,4,735370.2200
